id,scientificName,year,month,day,county,Latitude,Longitude,genus,species,family
UCR117084,Lotus heermannii,2001,5,16,Riverside,33.69917,-116.95333,Lotus,Syrmatium tomentosum,Fabaceae
UCR64621,Hackelia californica,1930,7,20,Butte,40.11306,-121.46611,Hackelia,Hackelia californica,Boraginaceae
UC1360448,Draba sierrae,1966,8,6,Inyo,37.3216,-118.668,Draba,Draba sierrae,Brassicaceae
UC195735,Microseris sylvatica,1896,7,25,Amador,38.3765,-120.8483,Microseris,Microseris sylvatica,Asteraceae
UC764728,Trifolium willdenovii,1935,3,18,San Joaquin,37.785866,-121.3057,Trifolium,Trifolium willdenovii,Fabaceae
UCR117087,Hemizonia kelloggii,2001,5,16,Riverside,33.69917,-116.95333,Hemizonia,Hemizonia kelloggii,Asteraceae
UCR64622,Myrica californica,1933,10,22,Marin,38.07097,-122.85875,Myrica,Myrica californica,Myricaceae
UC1360449,Draba pterosperma,1966,9,4,Siskiyou,41.5737,-123.2102,Draba,Draba pterosperma,Brassicaceae
UC691249,Barbarea orthoceras,1933,4,9,Contra Costa,37.91,-121.9231,Barbarea,Barbarea orthoceras,Brassicaceae
UCR117086,Mimulus brevipes,2001,5,16,Riverside,33.69917,-116.95333,Mimulus,Mimulus brevipes,Phrymaceae
UCR64623,Linanthus bicolor,1973,5,6,Trinity,40.65083,-122.94278,Linanthus,Linanthus bicolor,Polemoniaceae
UCR64624,Polemonium eximium,1904,8,15,Inyo,36.57219,-118.29281,Polemonium,Polemonium eximium,Polemoniaceae
UCR64626,Allium munzii,1930,4,15,Riverside,33.8,-117.36667,Allium,Allium munzii,Amaryllidaceae
JEPS16888,Lonicera hispidula var. vacillans,1956,6,20,Santa Barbara,34.5346,-120.0653,Lonicera,Lonicera hispidula,Caprifoliaceae
JEPS54518,Astragalus asymmetricus,1892,8,15,Solano,38.2888,-122.0006,Astragalus,Astragalus asymmetricus,Fabaceae
UC629699,Glinus lotoides,1936,9,12,Santa Clara,37.421104,-121.69879,Glinus,Glinus lotoides,Molluginaceae
UCR64627,Cryptantha clevelandii var. florosa,1930,10,5,Santa Barbara,34.778,-120.036,Cryptantha,Cryptantha clevelandii,Boraginaceae
UCR34682,Agrostis scabra var. geminata,1981,8,6,Modoc,41.38222,-120.21889,Agrostis,Agrostis hyemalis,Poaceae
UCR34681,Trisetum spicatum,1981,8,6,Modoc,41.38222,-120.21889,Trisetum,Trisetum spicatum,Poaceae
UCR35000,Apocynum cannabinum,1968,6,20,Riverside,33.79861,-116.74861,Apocynum,Apocynum cannabinum,Apocynaceae
UCR34680,Stipa nevadensis,1981,8,6,Modoc,41.38222,-120.21889,Stipa,Stipa nevadensis,Poaceae
UCR35001,Apocynum cannabinum,1968,6,25,Riverside,33.66667,-116.66667,Apocynum,Apocynum cannabinum,Apocynaceae
UCR34687,Botrychium simplex,1981,8,6,Modoc,41.38222,-120.21889,Botrychium,Botrychium simplex,Ophioglossaceae
UCR35006,Psorothamnus schottii,1977,4,12,Riverside,33.96667,-116.5,Psorothamnus,Psorothamnus schottii,Fabaceae
UCR34686,Epilobium anagallidifolium,1981,8,6,Modoc,41.38222,-120.21889,Epilobium,Epilobium anagallidifolium,Onagraceae
